localAuth_wardNumber	ZAPU	ZANU_PF	ZDP	MDC	MDC_T	rejected_votes	unaccounted_ballot	total_votes	total_valid_votes
31**Nyanga RDC	1	789	0	4	265	10	0	1069	1059
31**Pfura RDC	10	2002	3	9	44	28	0	2096	2068
31**Zaka RDC	23	1013	2	46	636	26	0	1746	1720
31**Zibagwe RDC	13	1810	7	21	608	37	0	2496	2459
31**Zvimba RDC	13	2065	3	15	80	16	0	2192	2176
32**Bikita RDC	7	921	14	37	404	34	0	1417	1383
32**Buhera RDC	15	955	6	74	490	81	0	1621	1540
32**Chiredzi RDC	16	1891	7	14	165	29	0	2122	2093
32**Chivi RDC	18	910	14	41	333	16	0	1332	1316
32**Gokwe North RDC	6	900	3	26	72	7	0	1014	1007
32**Gokwe South RDC	9	816	9	40	409	16	0	1299	1283
32**Gutu RDC	18	2373	2	14	287	33	0	2727	2694
32**Harare Municipality	16	1584	8	193	4959	85	0	6845	6760
32**Makoni RDC	0	252	1	7	298	6	0	564	558
32**Masvingo RDC	4	1154	2	17	324	6	0	1507	1501
32**Mazowe RDC	12	1467	5	11	129	38	0	1662	1624
32**Mberengwa RDC	14	511	3	69	535	43	0	1175	1132
32**Mutare RDC	2	748	0	13	791	13	0	1567	1554
32**Pfura RDC	4	1075	1	9	37	16	0	1142	1126
32**Zaka RDC	19	1164	6	39	242	30	4	1500	1470
32**Zibagwe RDC	3	802	0	18	275	14	0	1112	1098
32**Zvimba RDC	7	1358	1	6	242	30	0	1644	1614
33**Buhera RDC	18	1001	8	101	1169	78	0	2375	2297
33**Gokwe North RDC	28	1517	10	29	188	34	0	1806	1772
33**Gokwe South RDC	10	1172	2	41	271	53	0	1549	1496
33**Gutu RDC	2	524	1	8	513	6	0	1054	1048
33**Harare Municipality	20	2430	6	208	7613	136	0	10413	10277
33**Makoni RDC	2	366	0	7	377	5	0	757	752
33**Masvingo RDC	5	847	1	25	712	14	0	1604	1590
33**Mazowe RDC	1	1084	3	27	859	17	0	1991	1974
33**Mberengwa RDC	9	723	2	18	174	35	0	961	926
33**Mutare RDC	6	599	3	26	362	17	0	1013	996
33**Pfura RDC	9	2217	6	13	73	57	0	2375	2318
33**Zaka RDC	18	1065	2	36	332	32	0	1485	1453
33**Zibagwe RDC	41	285	8	93	563	60	0	1050	990
33**Zvimba RDC	6	1501	3	8	99	88	0	1705	1617
34**Gokwe North RDC	14	1085	7	41	331	39	0	1517	1478
34**Gutu RDC	7	1586	0	16	715	11	0	2335	2324
34**Harare Municipality	12	808	2	93	2609	52	0	3576	3524
34**Makoni RDC	9	1473	6	15	177	38	0	1718	1680
34**Masvingo RDC	21	1434	4	20	197	51	0	1727	1676
34**Mazowe RDC	7	1062	2	8	87	14	0	1180	1166
34**Mberengwa RDC	10	577	6	32	218	45	0	888	843
34**Mutare RDC	26	3566	9	40	419	88	0	4148	4060
34**Pfura RDC	10	1871	5	20	120	34	0	2060	2026
34**Zaka RDC	9	785	1	26	328	27	0	1176	1149
34**Zvimba RDC	12	1046	7	29	279	38	0	1411	1373
35**Gokwe North RDC	21	1534	16	54	307	70	0	2002	1932
35**Gutu RDC	3	806	6	26	262	8	0	1111	1103
35**Harare Municipality	17	1185	4	140	3781	83	9	5210	5127
35**Makoni RDC	16	2047	4	44	634	73	0	2818	2745
35**Masvingo RDC	1	299	3	23	945	18	0	1289	1271
35**Mazowe RDC	2	687	0	19	398	18	0	1124	1106
35**Mberengwa RDC	13	1868	1	8	63	24	0	1977	1953
35**Mutare RDC	5	758	4	46	894	25	0	1732	1707
35**Pfura RDC	4	1163	1	11	91	15	0	1285	1270
35**Zvimba RDC	13	2975	7	109	2302	79	2	5485	5406
36**Gokwe North RDC	21	1431	9	48	403	72	0	1984	1912
36**Gutu RDC	17	994	7	60	432	32	0	1542	1510
36**Harare Municipality	13	963	3	62	1906	43	0	2990	2947
36**Makoni RDC	7	840	5	35	437	35	0	1359	1324
36**Mberengwa RDC	9	2317	2	10	171	30	0	2539	2509
36**Mutare RDC	17	904	7	39	343	12	0	1322	1310
36**Pfura RDC	7	2744	2	25	158	55	0	2991	2936
37**Gutu RDC	10	946	8	31	413	23	0	1431	1408
37**Harare Municipality	18	2663	7	257	8164	132	0	11241	11109
37**Makoni RDC	24	1892	3	39	259	55	0	2272	2217
37**Mberengwa RDC	0	165	0	5	64	7	0	241	234
37**Pfura RDC	6	1054	1	5	38	17	0	1121	1104
38**Gutu RDC	10	535	4	27	327	7	0	910	903
38**Harare Municipality	10	1925	5	133	4047	47	0	6167	6120
38**Makoni RDC	14	894	1	12	154	22	0	1097	1075
38**Pfura RDC	9	1509	0	13	62	13	0	1606	1593
39**Gutu RDC	1	664	1	20	249	10	0	945	935
39**Harare Municipality	7	1136	8	110	2760	61	0	4082	4021
39**Makoni RDC	17	640	6	52	483	20	0	1218	1198
39**Pfura RDC	1	1937	0	1	21	11	0	1971	1960
4**Beitbridge RDC	25	991	9	50	232	74	0	1381	1307
4**Beitbridge Town Council	12	868	0	47	689	39	0	1655	1616
4**Bikita RDC	13	980	4	54	381	44	0	1476	1432
4**Bindura Municipality	1	447	0	7	387	12	0	854	842
4**Bindura RDC	16	1981	1	8	63	26	0	2095	2069
4**Binga RDC	4	103	12	95	684	74	0	972	898
4**Bubi RDC	10	401	3	67	517	48	0	1046	998
4**Buhera RDC	13	967	4	30	890	21	0	1925	1904
4**Bulawayo City Council	70	1069	12	643	3751	73	0	5618	5545
4**Bulilima RDC	15	332	11	173	387	24	0	942	918
4**Chaminuka RDC	11	818	3	11	120	14	0	977	963
4**Chegutu Municipality	0	537	4	24	636	30	0	1231	1201
4**Chegutu RDC	12	1413	5	100	1134	35	0	2699	2664
4**Chikomba RDC	6	445	2	14	163	24	0	654	630
